node_id,latitude,longitude,address,city
SM0RJ3W3NY4VHLD4YIER,Unknown,41.116467,1.230811,"Carr. Valencia, Km 248, 8",Tarragona
UDID1FNYOX9UT78W8V3Z,Unknown,41.1377,1.229063,"Carrer De La Plata, 3",Tarragona
OMS7LSQJRCQ3BE5HQ1M4,Unknown,41.336872,1.688275,Concessionari Vilamòbil,Vilafranca del Penedès
1XVWC9S7TE6102I1MYSB,"Plaça de l'Ajuntament, 1",41.62205,2.277313,"Avinguda De Canovelles, 97, 08420 Canovellas, Barcelona, Spain",Canovelles
S5DTS8PT7ABWGFJL5ZD8,Ajuntament de Canovelles - SELBA EdRSR 3,41.617214,2.280024,"Carrer Rec, 34",Canovelles
PVTQA7J2EASAZABMWAJS,Unknown,42.048332,2.262815,Placeta Pujol 40,Torelló
MBUKEJEBLVCAZU6384UG,Unknown,42.04435,2.258716,Passatge Dels Esports S/N,Torelló
LJ6NUBHJD8RXHUJ83VAI,Unknown,41.837803,2.807591,"Carrer De Pla I Deniel, 13",Caldes de Malavella
9LYNEWGIOTMHU3PIPDJJ,Unknown,41.835743,2.808608,"Carrer Nou, 60",Caldes de Malavella
O9TD9WIQGXOKPZUM27SM,Unknown,41.838642,2.808712,"Carrer De Vall-Llobera, 17",Caldes de Malavella
7GQEP7VIXDVAJTNM3EL8,Unknown,41.750248,1.9033,Carrer Pau Clarís,Navarcles
TWDY7NNW8ZTTPWA1B1LL,Unknown,41.285545,1.721297,"Av. De Daltmar, 38B, 08811 Canyelles, Barcelona, Spain",Canyelles
EZPVYYJO7O9YYLKNCS8M,Unknown,41.62557,2.362571,Av. Del Vallès,Cànoves i Samalús
PMLZEG7NVFE4IFITHLD2,Unknown,41.639225,2.361024,Carrer Dr. Klein 106,Cànoves i Samalús
Q0FZUBBS6WAPXRAIWXNO,Unknown,41.640217,2.355981,"Carretera De Cànoves, 28",Cànoves i Samalús
RN7OARPN5QKZOP6IHK9N,Unknown,40.956844,0.315549,Av. Generalitat 13,Horta de Sant Joan
QDDTUE5LBZGXG60LYOTV,Unknown,41.182938,0.566697,"Carrer Del Reg, 6",Ascó
ERWTHNJFVZ1TCDGA0H8C,Unknown,41.188507,0.567002,Carrer De L'estadi,Ascó
NNX8BLVRODFXPJDGSB32,Unknown,41.621002,2.279463,"Carrer Diagonal, Barcelona",Canovelles
VUPOQ8UTYBBZD1GBNDGO,Unknown,41.923798,2.322932,"Avinguda Nostra Senyora De Montserrat, 15, 08504 Sant Julià De Vilatorta, Barcelona, Spain",Sant Julià de Vilatorta
WM5MAPUIX15GC2ZNCSWX,Unknown,41.824203,1.898686,Plaça De Santa Maria,Sallent
T5PTWGEQLZDHRWDZFNSR,Unknown,41.82701,1.892525,"Plaça Catalunya, 2, 08650 Sallent, Barcelona, Spain",Sallent
PUADFEQNHFGLW7JVJO5U,Unknown,41.665222,1.860236,Plaça Generalitat 27,Sant Vicenç de Castellet
5YDA8BKPQY8BZIXSEDFC,Unknown,41.89336,2.801601,"Plaça Ajuntament, 1",Campllong
2JZMJ4JYWWY8YO8BDMZT,Ajuntament de Malla - SELBA EdRSR 1,41.894115,2.243276,Plaça De L'ajuntament,Malla
3DFQAC2DRSKODMJKB4X3,Unknown,40.431507,-3.689979,"P.º De La Castellana, 31",Madrid
ZHVGNWHHFEF6HU0ADMKJ,Unknown,41.956966,3.159175,"Lloc Barri Camargas, 17A",Palau-sator
BVAJJPUV8WRR0P6HJVME,Unknown,41.19264,1.604069,"Ctra. Barcelona, 82",Calafell
LOZ8TR0DL9D2KATGCK17,Unknown,42.39144,3.002428,"Carrer De Banyuls, 24-18",Espolla
WG1E0ZQVUXT9LDC2H4BE,Unknown,42.374393,2.92272,"Carrer Sant Climent, 27, 17750 Capmany, Girona, Spain",Capmany
ILT50BKWIKMUUKKLBW2Z,Unknown,42.4167,2.872906,"2 Plaça Ajuntament, 17700 La Junquera, Girona, Spain","Jonquera, La"
